"Comment","Timestamp","Datetime Posted"
"😮‍💨😮‍💨😮‍💨","0:24","2023-02-12T19:52:11.000Z"
"@user189430331 hows bro plugging a of","0:00","2023-02-11T17:45:39.000Z"
"@user-749714499 he’d respect the hustle bro 😉😅","0:00","2023-02-02T17:40:25.000Z"
"ballards","2:08","2023-02-02T17:58:01.000Z"
"Nicki","1:13","2023-01-29T23:16:59.000Z"
"Tune","0:23","2023-01-28T22:37:19.000Z"
"Hard","0:11","2023-01-26T12:29:58.000Z"
"@user-214790362","0:11","2023-01-25T19:26:46.000Z"
"@495358796375","0:00","2023-01-31T14:57:19.000Z"
"8 on his back like lampaaaarrrd","0:12","2023-01-29T19:55:42.000Z"
"Lampard","0:06","2023-01-21T12:00:10.000Z"
"fr shout out my UK people","0:06","2023-01-20T23:27:57.000Z"
"wallard","0:03","2023-01-30T19:20:27.000Z"
"Salad","1:07","2023-01-18T21:00:13.000Z"
"@usmoncef salat*","1:07","2023-01-18T15:00:22.000Z"
"let iz strip into ya tracky headie one sit gooned out chin in the collar","0:04","2023-01-25T12:16:56.000Z"
"🔥🔥🔥🔥🔥🔥","0:32","2023-01-16T21:04:00.000Z"
"This track is a masterpiece","0:20","2023-01-12T10:01:42.000Z"
"I left my yard filled with 50s didint remember my bank card i really wish bro was with me he got eight in his back like lampard","1:21","2023-01-12T01:23:23.000Z"
"50s","2:31","2023-01-11T19:51:11.000Z"
"50s","0:08","2023-01-08T00:19:27.000Z"
"Left my yard filled wit 50s","0:13","2023-01-08T00:19:18.000Z"
"evil ✨️","0:41","2023-01-06T23:42:48.000Z"
"@6543415354288 oright lass chune this 💪💪","0:00","2022-12-26T16:20:59.000Z"
"@65341535288 wag1 b wys, buss me ur snap tho styll","0:00","2022-12-27T16:16:58.000Z"
"@6515175714565","0:00","2022-12-29T00:13:19.000Z"
"@6518145115","0:00","2023-01-08T20:35:22.000Z"
"fire","0:00","2023-01-14T13:47:30.000Z"
"Uncle headi","0:55","2023-01-16T07:41:23.000Z"
"🥶","1:19","2022-12-25T01:26:04.000Z"
"Watching the lyrics in comments","0:51","2022-12-25T01:09:16.000Z"
"Didn’t remember my Bank Codes🗂️","0:15","2022-12-25T01:08:56.000Z"
"@user-90079315 cards💀","0:15","2022-12-24T23:36:25.000Z"
